,ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Clusters
0,1,28143,0,1,1,1,4
1,2,19244,0,1,1,1,4
2,3,41354,0,1,1,1,4
3,4,14776,0,1,1,1,4
4,5,97752,0,4,1,1,4
5,6,16420,0,1,1,1,4
6,7,84914,0,3,1,1,4
7,8,20856,0,1,1,1,4
8,9,443003,0,3,2,1,0
9,10,104860,0,3,1,1,4
10,11,40091,0,2,1,1,4
11,12,96522,0,5,1,1,4
12,13,43382,0,2,1,1,4
13,14,43097,0,1,1,1,4
14,15,17648,0,1,1,1,4
15,16,28495,0,4,1,1,4
16,17,51890,0,4,1,1,4
17,18,13958,0,1,1,1,4
18,19,91473,0,3,1,1,4
19,20,23354,0,3,1,1,4
20,21,120576,0,5,1,1,4
21,22,185681,2024,1,1,1,0
22,23,20584,0,1,1,1,4
23,24,66275,0,1,1,1,4
24,25,205651,500,1,1,1,0
25,26,20726,0,1,1,1,4
26,27,18521,0,1,1,1,4
27,28,8828,0,1,1,1,4
28,29,59763,0,3,1,1,4
29,30,19221,0,1,1,1,4
30,31,177926,0,3,1,1,0
31,32,10021,0,1,1,1,4
32,33,276571,0,4,1,1,0
33,34,18047,0,1,1,1,4
34,35,43832,0,1,1,1,4
35,36,123759,0,4,1,1,4
36,37,23193,0,1,1,1,4
37,38,68666,0,1,1,1,4
38,39,59990,0,3,1,1,4
39,40,2176,0,1,1,1,4
40,41,34616,0,1,1,1,4
41,42,10470,0,4,1,1,4
42,43,60313,0,1,1,1,4
43,44,619393,0,3,1,1,1
44,45,121260,0,3,1,1,4
45,46,288865,967,1,1,1,0
46,47,92336,0,2,1,1,4
47,48,36924,0,1,1,1,4
48,49,70312,0,3,1,1,4
49,50,17051,0,1,1,1,4
50,51,108137,0,1,1,1,4
51,52,1300,0,1,1,1,4
52,53,118531,0,4,1,1,4
53,54,121395,0,1,1,1,4
54,55,38348,0,1,1,1,4
55,56,14448,0,1,1,1,4
56,57,75971,0,4,1,1,4
57,58,36298,0,1,1,1,4
58,59,38077,0,3,1,1,4
59,60,95118,0,3,1,1,4
60,61,134457,0,3,1,1,4
61,62,19918,0,1,1,1,4
62,63,10120,0,1,1,1,4
63,64,362642,0,1,1,1,0
64,65,80250,0,1,1,1,4
65,66,53914,0,3,1,1,4
66,67,9375,0,1,1,1,4
67,68,83237,0,4,1,1,4
68,69,230715,0,3,1,1,0
69,71,47457,0,3,1,1,4
70,72,84409,5031,2,1,1,4
71,73,252386,0,4,1,1,0
72,74,550367,0,3,1,1,1
73,75,12646,0,1,1,1,4
74,76,123867,0,3,1,1,4
75,78,129871,0,3,1,1,4
76,79,109380,0,1,1,1,4
77,80,111157,0,4,1,1,4
78,81,49238,0,4,1,1,4
79,82,38896,0,5,1,1,4
80,83,4340,0,1,1,1,4
81,84,88443,0,1,1,1,4
82,85,8454,0,1,1,1,4
83,86,61990,0,1,1,1,4
84,87,24093,0,1,1,1,4
85,88,35418,0,5,1,1,4
86,89,40284,0,1,1,1,4
87,90,609477,0,3,1,1,1
88,91,62553,0,2,1,1,4
89,92,48433,0,1,1,1,4
90,93,20508,0,1,1,1,4
91,94,2000,0,1,1,1,4
92,95,78629,0,4,1,1,4
93,96,143566,0,1,1,1,4
94,97,185549,0,5,1,1,0
95,98,16796,0,1,1,1,4
96,99,57346,0,1,1,1,4
97,100,102062,0,4,1,1,4
98,101,22324,0,1,1,1,4
99,102,64824,0,3,1,1,4
100,103,25076,1182,5,1,1,4
101,104,8053,0,1,1,1,4
102,105,35119,0,1,1,1,4
103,106,28667,0,1,1,1,4
104,107,34327,0,1,1,1,4
105,108,3734,0,5,1,1,4
106,109,96627,1182,1,1,3,4
107,110,43498,0,1,1,1,4
108,111,84674,0,4,1,1,4
109,112,15098,0,4,1,1,4
110,113,181019,0,3,1,1,0
111,114,298911,0,1,1,1,0
112,115,124198,0,5,1,1,4
113,116,56906,0,1,1,1,4
114,117,295638,0,1,1,1,0
115,118,67018,0,3,1,1,4
116,119,143967,0,2,1,1,4
117,120,969559,0,1,1,1,3
118,121,122705,0,3,1,1,4
119,122,16583,0,1,1,1,4
120,123,77540,0,1,1,1,4
121,124,205126,0,5,1,1,0
122,125,81974,0,4,1,1,4
123,126,47258,0,3,1,1,4
124,127,77699,0,4,1,1,4
125,128,133954,500,4,1,1,4
126,129,602064,0,5,1,1,1
127,130,213150,0,4,1,1,0
128,131,48333,0,2,1,1,4
129,132,142175,0,4,1,1,4
130,133,17469,0,1,1,1,4
131,134,19823,0,1,1,1,4
132,135,145074,0,1,1,1,4
133,136,101101,0,1,1,1,4
134,137,125948,0,3,1,1,4
135,138,259484,1776,1,1,1,0
136,139,129298,0,4,1,1,4
137,140,103302,0,4,1,1,4
138,141,160447,0,1,1,1,0
139,142,15472,0,1,1,1,4
140,143,39628,0,1,1,1,4
141,144,6112,0,1,1,1,4
142,145,31769,0,1,1,1,4
143,146,126787,0,4,1,1,4
144,147,41547,0,3,1,1,4
145,148,100640,0,1,1,1,4
146,149,18707,0,1,1,1,4
147,150,50593,0,5,1,1,4
148,151,84631,0,3,1,1,4
149,152,24868,0,1,1,1,4
150,153,77097,0,4,1,1,4
151,154,930410,0,5,1,1,3
152,155,298121,0,5,1,1,0
153,156,87474,0,1,1,1,4
154,157,48707,0,4,1,1,4
155,158,220081,0,4,1,1,0
156,159,212976,0,3,1,1,0
157,160,44182,0,3,1,1,4
158,161,228829,0,5,1,1,0
159,162,46823,0,1,1,1,4
160,163,69110,0,3,1,1,4
161,164,120700,0,5,1,1,4
162,165,152945,0,1,1,1,4
163,166,10302,0,4,1,1,4
164,167,80331,0,3,1,1,4
165,168,69882,0,1,1,1,4
166,169,95658,0,1,1,1,4
167,170,402874,0,5,1,1,0
168,171,370941,0,4,1,1,0
169,172,21694,0,4,1,1,4
170,173,71767,0,5,1,1,4
171,174,35820,0,1,1,1,4
172,175,352508,0,3,1,1,0
173,176,149285,0,1,1,1,4
174,177,120941,0,4,1,1,4
175,178,451673,0,4,1,1,0
176,179,106961,0,1,1,1,4
177,180,28086,1745,2,1,1,4
178,181,60230,0,1,1,1,4
179,182,6663,0,1,1,1,4
180,183,48145,0,1,1,1,4
181,184,127807,0,3,1,1,4
182,186,32948,0,1,1,1,4
183,187,8933,0,2,1,1,4
184,188,49885,0,3,1,1,4
185,189,89999,0,3,1,1,4
186,190,707079,0,4,1,1,1
187,191,211595,0,1,1,1,0
188,192,410795,0,5,1,1,0
189,193,72173,0,1,1,1,4
190,194,123516,0,5,1,1,4
191,195,143080,733,4,1,1,4
192,196,386061,0,5,1,1,0
193,197,52738,2398,1,1,1,4
194,198,24523,0,1,1,1,4
195,199,134601,0,1,1,1,4
196,200,32742,0,5,1,1,4
197,201,108341,0,3,1,1,4
198,202,8669,0,1,3,1,4
199,203,118940,0,4,1,1,4
200,204,41385,0,4,1,1,4
201,205,28621,0,2,1,1,4
202,206,16230,0,1,1,1,4
203,207,152881,0,5,1,1,4
204,208,37348,0,1,1,1,4
205,209,51468,0,1,1,1,4
206,210,95989,0,5,1,1,4
207,211,23184,1250,1,1,1,4
208,212,27381,0,3,1,1,4
209,213,6854,0,1,1,1,4
210,214,201346,0,5,1,1,0
211,215,31588,0,1,1,1,4
212,216,204582,0,1,1,1,0
213,217,8298,0,3,1,1,4
214,218,10097,0,1,1,1,4
215,219,114356,0,4,1,1,4
216,220,1344,0,1,1,1,4
217,221,59797,0,1,1,1,4
218,222,189053,0,3,1,1,0
219,223,143481,0,4,1,1,4
220,224,1302051,2706,5,1,1,2
221,225,229744,0,5,1,1,0
222,226,75039,0,1,1,1,4
223,227,20203,0,1,1,1,4
224,228,193976,0,3,1,1,0
225,229,98224,0,2,1,1,4
226,230,117329,0,1,2,1,4
227,231,119239,0,4,1,1,4
228,232,53715,0,2,1,1,4
229,233,153747,0,5,1,1,4
230,234,133309,0,3,1,1,4
231,235,81380,0,5,1,1,4
232,236,22074,0,1,1,1,4
233,237,24051,0,2,1,1,4
234,238,11449,0,2,1,1,4
235,239,182317,0,2,1,1,0
236,240,46184,0,1,1,1,4
237,241,285116,0,1,1,1,0
238,242,30962,0,5,1,1,4
239,243,15525,0,1,1,1,4
240,244,163530,0,5,1,1,4
241,245,2075,0,2,1,1,4
242,246,227881,0,4,1,1,0
243,247,118934,0,5,1,1,4
244,248,468175,0,5,1,1,0
245,249,12526,0,4,1,1,4
246,250,176090,0,1,1,1,0
247,251,15221,0,1,1,1,4
248,252,92875,0,5,1,1,4
249,253,88702,0,2,1,1,4
250,254,62882,0,1,1,1,4
251,255,30015,0,1,1,1,4
252,256,87293,0,3,1,1,4
253,257,45225,0,3,1,1,4
254,258,96098,0,1,1,1,4
255,259,236274,0,5,1,1,0
256,260,423540,0,1,1,1,0
257,261,25279,0,2,1,1,4
258,262,198137,0,1,1,1,0
259,263,402312,0,5,1,1,0
260,264,149733,0,1,1,1,4
261,265,70730,0,1,1,1,4
262,266,164613,0,2,1,1,0
263,267,47557,0,2,1,1,4
264,268,35065,0,1,1,1,4
265,269,105769,0,3,1,1,4
266,270,35900,0,1,1,1,4
267,271,43088,0,1,1,1,4
268,272,58703,0,4,1,1,4
269,273,70354,0,5,1,1,4
270,274,145726,0,3,1,1,4
271,275,121639,0,5,1,1,4
272,276,70676,0,5,1,1,4
273,277,18263,0,1,1,1,4
274,278,51250,0,1,1,1,4
275,279,1704838,0,1,1,1,5
276,280,12895,0,1,1,1,4
277,281,120073,0,3,1,1,4
278,282,2003,0,1,1,1,4
279,283,22652,0,5,1,1,4
280,284,168515,0,1,1,1,0
281,285,44873,0,4,1,1,4
282,286,190542,1745,1,1,1,0
283,287,156230,0,1,1,1,4
284,288,79211,0,4,1,1,4
285,289,98006,0,4,1,1,4
286,290,33982,0,5,1,1,4
287,291,62998,0,2,1,1,4
288,292,137908,0,5,1,1,4
289,293,45586,0,4,1,1,4
290,294,568174,0,5,1,1,1
291,295,145993,0,5,1,1,4
292,296,294881,0,5,1,1,0
293,297,12195,0,1,1,1,4
294,298,16622,0,1,1,1,4
295,299,141813,0,4,1,1,4
296,300,58139,500,4,1,1,4
297,301,238868,0,3,1,1,0
298,302,149286,0,4,1,1,4
299,303,35945,0,1,1,1,4
300,304,28218,0,1,1,1,4
301,305,7061,0,1,1,1,4
302,306,217846,0,4,1,1,0
303,307,364387,0,4,1,1,0
304,308,125465,0,3,1,1,4
305,309,94222,0,4,1,1,4
306,310,123370,0,1,1,1,4
307,311,383030,2998,1,1,1,0
308,312,112969,0,2,1,1,4
309,313,46430,0,1,1,1,4
310,314,179433,0,4,1,1,0
